,box,angry,disgust,fear,happy,sad,surprise,neutral
222,[325 168  83  83],0.24,0.01,0.56,0.01,0.05,0.09,0.03
223,[325 168  83  83],0.24,0.01,0.55,0.01,0.05,0.1,0.03
224,[325 168  83  83],0.25,0.01,0.54,0.01,0.05,0.1,0.03
225,[324 168  84  84],0.2,0.01,0.6,0.01,0.05,0.09,0.03
226,[324 168  84  84],0.19,0.01,0.61,0.01,0.05,0.09,0.04
227,[324 168  84  84],0.16,0.01,0.64,0.01,0.05,0.09,0.04
228,[324 167  84  84],0.22,0.01,0.57,0.01,0.06,0.1,0.04
229,[323 167  85  85],0.15,0.01,0.64,0.01,0.06,0.1,0.04
230,[324 168  85  85],0.1,0.0,0.73,0.01,0.05,0.08,0.03
231,[324 168  85  85],0.1,0.0,0.74,0.01,0.05,0.07,0.03
232,[324 168  85  85],0.1,0.0,0.74,0.01,0.05,0.07,0.03
233,[324 168  85  85],0.1,0.0,0.74,0.01,0.05,0.07,0.03
234,[324 168  85  85],0.11,0.0,0.74,0.01,0.05,0.07,0.03
235,[324 168  85  85],0.11,0.0,0.73,0.01,0.05,0.07,0.03
236,[324 168  85  85],0.12,0.0,0.72,0.01,0.05,0.07,0.03
237,[324 168  84  84],0.12,0.0,0.68,0.01,0.05,0.1,0.03
238,[324 168  84  84],0.14,0.0,0.65,0.01,0.06,0.1,0.04
239,[324 168  83  83],0.14,0.0,0.58,0.01,0.04,0.18,0.04
240,[324 168  84  84],0.11,0.0,0.7,0.01,0.04,0.1,0.03
241,[324 168  84  84],0.12,0.0,0.69,0.01,0.05,0.1,0.03
242,[325 168  84  84],0.17,0.01,0.63,0.01,0.05,0.11,0.02
243,[325 168  83  83],0.15,0.0,0.61,0.01,0.05,0.14,0.04
244,[325 168  84  84],0.2,0.01,0.6,0.01,0.05,0.11,0.02
245,[325 168  83  83],0.12,0.0,0.62,0.01,0.05,0.15,0.04
246,[325 168  83  83],0.15,0.0,0.59,0.01,0.06,0.14,0.04
247,[325 168  83  83],0.15,0.0,0.59,0.01,0.06,0.14,0.04
248,[325 168  83  83],0.15,0.0,0.59,0.01,0.06,0.14,0.04
249,[325 168  83  83],0.15,0.0,0.59,0.01,0.06,0.14,0.04
250,[324 168  83  83],0.15,0.0,0.58,0.01,0.05,0.16,0.04
251,[324 168  83  83],0.15,0.0,0.58,0.01,0.05,0.16,0.04
252,[325 168  83  83],0.14,0.0,0.61,0.01,0.06,0.14,0.04
253,[324 168  85  85],0.14,0.0,0.63,0.01,0.06,0.12,0.03
254,[325 168  84  84],0.09,0.0,0.59,0.01,0.04,0.23,0.03
255,[325 168  84  84],0.09,0.0,0.59,0.01,0.04,0.23,0.03
256,[325 168  84  84],0.09,0.0,0.59,0.01,0.04,0.23,0.04
257,[326 169  82  82],0.13,0.0,0.58,0.01,0.04,0.18,0.04
258,[326 168  83  83],0.16,0.0,0.59,0.01,0.02,0.2,0.02
259,[326 168  83  83],0.16,0.0,0.59,0.01,0.02,0.2,0.02
260,[326 168  83  83],0.16,0.0,0.59,0.01,0.02,0.2,0.02
261,[326 168  83  83],0.16,0.0,0.59,0.01,0.02,0.19,0.02
262,[326 168  83  83],0.16,0.0,0.59,0.01,0.02,0.19,0.02
263,[326 168  83  83],0.15,0.0,0.59,0.01,0.02,0.2,0.02
264,[325 168  83  83],0.14,0.01,0.59,0.0,0.03,0.21,0.02
265,[325 168  82  82],0.12,0.01,0.62,0.0,0.04,0.18,0.03
266,[326 169  80  80],0.15,0.02,0.66,0.0,0.06,0.08,0.02
267,[325 168  82  82],0.14,0.01,0.61,0.0,0.04,0.16,0.04
268,[326 168  82  82],0.17,0.03,0.63,0.0,0.04,0.1,0.03
269,[325 168  83  83],0.07,0.01,0.64,0.0,0.04,0.21,0.02
270,[326 168  82  82],0.09,0.04,0.69,0.0,0.03,0.13,0.02
271,[326 169  82  82],0.09,0.02,0.69,0.0,0.05,0.11,0.03
272,[326 169  82  82],0.1,0.03,0.68,0.0,0.05,0.11,0.03
273,[326 169  81  81],0.07,0.02,0.76,0.0,0.04,0.08,0.02
274,[326 169  81  81],0.07,0.02,0.76,0.0,0.04,0.08,0.02
275,[326 169  81  81],0.07,0.01,0.75,0.0,0.04,0.09,0.02
276,[326 169  81  81],0.08,0.01,0.75,0.0,0.04,0.09,0.02
277,[327 169  81  81],0.11,0.02,0.72,0.0,0.03,0.09,0.02
278,[327 169  81  81],0.11,0.02,0.72,0.0,0.03,0.09,0.02
279,[326 169  81  81],0.07,0.01,0.78,0.0,0.04,0.08,0.02
280,[326 169  81  81],0.07,0.01,0.77,0.0,0.04,0.08,0.02
281,[326 169  81  81],0.07,0.01,0.77,0.0,0.04,0.08,0.02
282,[326 169  81  81],0.07,0.01,0.78,0.0,0.05,0.06,0.02
283,[326 169  81  81],0.07,0.01,0.78,0.0,0.05,0.06,0.02
284,[326 169  81  81],0.07,0.01,0.78,0.0,0.05,0.06,0.02
285,[327 169  80  80],0.12,0.02,0.71,0.0,0.05,0.07,0.03
286,[326 169  82  82],0.13,0.02,0.64,0.01,0.05,0.12,0.04
287,[325 169  83  83],0.07,0.03,0.69,0.0,0.06,0.13,0.02
288,[325 168  83  83],0.14,0.02,0.54,0.01,0.07,0.18,0.04
289,[325 168  83  83],0.1,0.01,0.63,0.0,0.05,0.17,0.02
290,[325 168  82  82],0.16,0.02,0.57,0.0,0.08,0.12,0.04
291,[325 168  83  83],0.12,0.02,0.6,0.0,0.06,0.17,0.03
292,[326 169  81  81],0.12,0.02,0.67,0.0,0.07,0.08,0.03
293,[325 169  82  82],0.12,0.02,0.63,0.01,0.05,0.15,0.03
294,[326 169  82  82],0.09,0.01,0.71,0.01,0.04,0.11,0.03
295,[326 169  81  81],0.09,0.01,0.73,0.0,0.06,0.08,0.03
296,[326 169  81  81],0.09,0.01,0.73,0.0,0.06,0.08,0.03
297,[325 168  83  83],0.14,0.01,0.55,0.01,0.08,0.17,0.05
298,[325 169  82  82],0.08,0.01,0.69,0.01,0.04,0.15,0.02
299,[326 169  82  82],0.09,0.01,0.73,0.0,0.04,0.11,0.02
300,[326 169  81  81],0.07,0.01,0.77,0.0,0.06,0.08,0.02
301,[325 169  82  82],0.09,0.01,0.7,0.01,0.05,0.12,0.02
302,[325 169  83  83],0.07,0.02,0.69,0.01,0.06,0.15,0.02
303,[325 168  83  83],0.11,0.01,0.62,0.01,0.05,0.18,0.03
304,[325 168  84  84],0.11,0.01,0.66,0.01,0.06,0.12,0.03
305,[325 168  83  83],0.22,0.01,0.51,0.01,0.08,0.14,0.03
306,[325 168  83  83],0.22,0.01,0.51,0.01,0.08,0.14,0.04
307,[325 168  84  84],0.1,0.01,0.68,0.01,0.07,0.11,0.03
308,[325 168  84  84],0.09,0.01,0.69,0.0,0.06,0.12,0.02
309,[325 168  82  82],0.1,0.0,0.62,0.0,0.04,0.2,0.02
310,[325 168  83  83],0.11,0.0,0.59,0.0,0.04,0.23,0.02
311,[326 169  82  82],0.09,0.0,0.72,0.0,0.04,0.12,0.02
312,[326 168  82  82],0.12,0.0,0.62,0.0,0.04,0.19,0.02
313,[326 168  82  82],0.13,0.0,0.61,0.0,0.04,0.17,0.03
314,[326 168  82  82],0.13,0.0,0.62,0.0,0.04,0.17,0.03
315,[326 168  82  82],0.13,0.0,0.62,0.0,0.04,0.17,0.03
316,[326 169  82  82],0.08,0.0,0.73,0.0,0.04,0.12,0.02
317,[326 169  82  82],0.08,0.0,0.73,0.0,0.04,0.12,0.02
318,[326 169  82  82],0.08,0.0,0.73,0.0,0.04,0.12,0.02
319,[326 169  82  82],0.08,0.0,0.73,0.0,0.04,0.12,0.02
320,[326 169  82  82],0.08,0.0,0.74,0.0,0.04,0.12,0.02
321,[326 169  82  82],0.09,0.0,0.75,0.0,0.04,0.1,0.02
322,[326 169  82  82],0.1,0.01,0.73,0.0,0.06,0.08,0.02
323,[326 168  83  83],0.12,0.01,0.73,0.0,0.05,0.08,0.01
324,[325 168  83  83],0.15,0.02,0.62,0.0,0.09,0.09,0.03
325,[325 168  83  83],0.15,0.03,0.6,0.0,0.1,0.08,0.03
326,[326 168  83  83],0.13,0.02,0.7,0.0,0.06,0.07,0.02
327,[326 168  83  83],0.12,0.02,0.72,0.0,0.05,0.07,0.02
328,[326 168  83  83],0.15,0.02,0.68,0.01,0.04,0.09,0.02
329,[327 168  82  82],0.28,0.03,0.56,0.0,0.04,0.07,0.02
330,[327 168  83  83],0.19,0.01,0.67,0.0,0.03,0.07,0.02
331,[327 168  82  82],0.3,0.03,0.55,0.0,0.04,0.07,0.02
332,[326 168  82  82],0.17,0.01,0.64,0.0,0.05,0.1,0.03
333,[326 168  83  83],0.15,0.01,0.67,0.01,0.03,0.11,0.02
334,[326 168  83  83],0.14,0.01,0.67,0.01,0.03,0.12,0.02
335,[326 169  82  82],0.12,0.01,0.69,0.01,0.05,0.1,0.02
336,[327 169  82  82],0.13,0.01,0.7,0.0,0.05,0.09,0.01
337,[327 169  82  82],0.13,0.01,0.7,0.0,0.05,0.09,0.01
338,[326 169  82  82],0.1,0.01,0.71,0.01,0.05,0.1,0.02
339,[326 169  82  82],0.1,0.01,0.71,0.01,0.05,0.1,0.02
340,[327 169  82  82],0.14,0.01,0.69,0.0,0.05,0.09,0.02
341,[327 169  82  82],0.14,0.01,0.69,0.0,0.05,0.09,0.02
342,[327 169  82  82],0.14,0.01,0.69,0.0,0.05,0.09,0.02
343,[327 169  81  81],0.13,0.0,0.7,0.01,0.05,0.08,0.02
344,[326 169  81  81],0.08,0.01,0.76,0.0,0.05,0.08,0.02
345,[326 169  81  81],0.07,0.01,0.76,0.0,0.05,0.08,0.02
