id,name
186,DE MENECH Roger
215,EHM Yana Chiara
203,DI MAIO Marco
196,DEL SESTO Margherita
198,DELMASTRO DELLE VEDOVE Andrea
83,CADEDDU Luciano
222,FARO Marialuisa
226,FASSINO Piero
86,CALABRIA Annagrazia
249,FORNARO Federico
220,FANTINATI Mattia
251,FOTI Tommaso
88,CANCELLERI Azzurra Pia Maria
89,CANNATELLI Pasquale
240,FIORINI Benedetta
247,FORCINITI Francesco
263,FUSACCHIA Alessandro
267,GALANTINO Davide
277,GELMINI Mariastella
276,GEBHARD Renate
287,GIACOMONI Sestino
103,CARE' Nicola
291,GIORDANO Concetta
269,GALLI Dario
302,GRIMOLDI Paolo
293,GIORGIS Andrea
279,GENTILONI SILVERI Paolo
280,GERARDI Francesca
109,CARRARA Maurizio
313,IORIO Marianna
110,CASA Vittoria
286,GIACOMETTO Carluccio
314,IOVINO Luigi
113,CASO Andrea
330,LOCATELLI Alessandra
319,LAPIA Mara
335,LOREFICE Marialucia
301,GRIMALDI Nicola
306,GUIDESI Guido
309,IEZZI Igor Giancarlo
341,LOVECCHIO Giorgio
331,LOLINI Mario
333,LOMBARDO Antonio
315,L'ABBATE Giuseppe
337,LORENZONI Eva
340,LOTTI Luca
352,MANCA Alberto
347,MADIA Maria Anna
361,MARCHETTI Riccardo Augusto
332,LOLLOBRIGIDA Francesco
364,MARINO Bernardo
358,MANZO Teresa
377,MELONI Giorgia
351,MAMMI' Stefania
356,MANIERO Alvise
128,CESTARI Emanuele
367,MARTINCIGLIO Vita
360,MARATTIN Luigi
363,MARIN Marco
372,MATURI Filippo
690,CASTELLONE Maria Domenica
398,MOSCHIONI Daniele
400,MULE' Giorgio
401,MURA Andrea
390,MONTARULI Augusta
701,CIRINNA' Monica
684,CANTU' Maria Cristina
407,NAPOLI Osvaldo
704,COMINCINI Eugenio
384,MINARDO Antonino
136,COIN Dimitri
716,DAL MAS Franco
392,MORANI Alessia
689,CASTALDI Gianluca
696,CERNO Tommaso
692,CATALFO Nunzia
141,COLUCCI Alessandro
714,D'ANGELO Grazia
404,MURONI Rossella
720,DE FALCO Gregorio
